"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"G0E",4630,53,59.6,27600,31880,56.9,0.2,10,0,1463.3106
"G0G",16315,41.7,43.2,38000,44960,75.8,0.2,15,30,127524.3928
"G0H",10540,45.5,49.6,31800,35360,64.6,0.3,10,0,3019.2551
"G0J",29005,48.4,54.4,28000,32120,60.1,0.2,20,40,11515.5635
"G0K",11725,44.6,47.6,32800,35000,66,0.2,10,30,3827.3675
"G0L",60940,47.1,51.2,31400,34680,64.2,0.2,85,165,7984.214
"G0M",34400,43.5,45.2,32000,34880,66.8,0.2,125,420,3126.5538
"G0N",19995,46.3,50,30600,34080,62.1,0.2,75,240,1560.109
"G0P",6790,43.6,46,30000,33000,63.4,0.2,0,20,907.9263
"G0R",84335,46.2,49.6,32800,35440,66.6,0.2,210,590,7117.3534
"G0S",72495,41.7,42,34800,37040,70.8,0.2,225,590,3444.0204
"G0T",13560,49.3,54.8,30600,35240,61.7,0.2,15,65,2297.7322
"G0V",18375,43.6,45.6,34800,38040,68,0.2,10,50,38016.179
"G0W",36540,42.1,43.2,32800,36880,68.2,0.3,50,90,23303.0543
"G0X",60485,46,50,32000,35560,62.4,0.2,75,220,31080.7623
"G0Y",9320,47.6,54,30800,33640,60.3,0.2,0,0,1773.644
"G0Z",8975,42.2,43.2,30400,33200,67.4,0.2,45,90,620.9932
"G1B",16700,40,41.6,41200,43080,76.8,0.2,10,110,41.6431
"G1C",36215,45.8,49.2,38400,41320,69.6,0.2,75,320,20.7153
"G1E",27750,45.1,45.2,33600,36520,66.6,0.2,165,695,11.0731
"G1G",24975,44,44.8,37600,40320,67.4,0.2,95,550,10.1297
"G1H",29620,47.2,48,34000,36520,65.2,0.2,170,895,8.3869
"G1J",23325,43,40,29200,32040,66.8,0.3,150,1215,6.2473
"G1K",18910,42.8,39.6,30600,35360,71.8,0.3,205,1145,3.856
"G1L",22025,42.5,39.6,29800,32920,71,0.3,215,1090,3.9677
"G1M",20770,47,47.2,32000,34880,67.6,0.2,120,810,10.7409
"G1N",8400,42.2,38.4,28800,31400,74.2,0.3,70,375,2.4844
"G1P",16535,44.4,43.2,34000,36280,68.8,0.2,180,845,11.4638
"G1R",16425,46.9,44.8,34000,41920,64,0.3,385,1240,3.0261
"G1S",25910,49.6,51.6,40000,47760,62.7,0.3,265,1260,4.789
"G1T",6795,47.5,51.2,53600,69400,62,0.3,50,200,4.7408
"G1V",23630,41,32.8,28600,35320,63.7,0.3,655,3050,8.5447
"G1W",22500,44.8,43.2,39200,47160,67,0.3,305,1575,8.4646
"G1X",26745,44.2,43.2,37200,42760,66,0.3,340,2000,12.0263
"G1Y",12735,46.1,49.6,46800,52550,64.8,0.3,45,195,6.4974
"G2A",15350,42.3,42.8,40400,43600,71.4,0.2,30,165,20.4068
"G2B",24935,43.1,43.6,38000,40760,71.2,0.2,30,335,14.5983
"G2C",12285,44.7,45.2,40800,43800,72.8,0.2,20,240,7.5484
"G2E",21055,45.6,47.6,39600,42400,70.4,0.2,40,200,9.1608
"G2G",10790,42.7,44.4,40800,44360,74.8,0.2,10,165,51.2998
"G2J",3225,51.4,56,37600,43600,58.6,0.3,0,110,0.9948
"G2K",12845,48.5,52.4,42400,48080,67.4,0.3,40,165,16.0871
"G2L",14610,44,46,40400,43400,68,0.2,15,115,11.7615
"G2M",5625,39.7,41.2,43200,45200,74.8,0.2,0,25,22.3716
