geo_name,people per km2,Average age of the population,Median age of the population,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over,Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Other single-attached house,Movable dwelling,Mobility status 1 year ago: Non-movers,Mobility status 1 year ago: Non-migrants,Mobility status 1 year ago: Intraprovincial migrants,Mobility status 1 year ago: Interprovincial migrants,Mobility status 1 year ago: External migrants,Mobility status 5 years ago: Non-movers,Mobility status 5 years ago: Non-migrants,Mobility status 5 years ago: Intraprovincial migrants,Mobility status 5 years ago: Interprovincial migrants,Mobility status 5 years ago: External migrants,Employment income,Without after-tax income,"Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 and over",Median after-tax income in 2019 among recipients ($),Average after-tax income in 2019 among recipients ($),Gini index on adjusted household after-tax income,cluster
S4X,0.0576161088069598,0.2845953002610967,0.3057851239669421,0.057348901098901,0.0712568681318681,0.0776098901098901,0.0628434065934065,0.0523695054945054,0.0528846153846153,0.0695398351648351,0.0855082417582417,0.0844780219780219,0.0686813186813186,0.0559752747252747,0.0621565934065934,0.0666208791208791,0.0533997252747252,0.034168956043956,0.0211195054945054,0.0127060439560439,0.0073832417582417,0.0032623626373626,0.0005151098901098,0.0,0.6944818304172274,0.0296096904441453,0.1022880215343203,0.0058322117541498,0.1588156123822341,0.0089726334679228,0.0,0.0,0.9008658773634918,0.0789892207103728,0.01113270895918,0.0040643223184308,0.0047711609825057,0.6680882625625811,0.2341924717226033,0.0660114963842017,0.0194696829223066,0.0320786204338957,0.784,0.0404106596767147,0.0696810834425513,0.0799475753604194,0.1103101791175185,0.1166448230668414,0.128003494975972,0.1214504150283966,0.0982961992136304,0.0788553953691568,0.0530799475753604,0.0360419397116644,0.0406290956749672,0.0266491917868064,47200.0,50960.0,0.2,2
S4Y,0.0167605069035863,0.2245430809399478,0.2644628099173552,0.074074074074074,0.082010582010582,0.0793650793650793,0.0626102292768959,0.0449735449735449,0.0502645502645502,0.0811287477954144,0.0908289241622574,0.0881834215167548,0.0687830687830687,0.0529100529100529,0.0687830687830687,0.0661375661375661,0.0396825396825396,0.0246913580246913,0.0132275132275132,0.0088183421516754,0.0026455026455026,0.001763668430335,0.0008818342151675,0.0,0.8712121212121212,0.0126262626262626,0.0151515151515151,0.0126262626262626,0.0606060606060606,0.0227272727272727,0.0,0.0,0.9021645021645022,0.0796536796536796,0.0051948051948051,0.0077922077922077,0.006060606060606,0.6750465549348231,0.2206703910614525,0.0819366852886405,0.0325884543761638,0.0223463687150838,0.818,0.0405092592592592,0.0694444444444444,0.0636574074074074,0.0902777777777777,0.1030092592592592,0.1122685185185185,0.1180555555555555,0.1030092592592592,0.0833333333333333,0.0648148148148148,0.0532407407407407,0.0590277777777777,0.042824074074074,53200.0,56600.0,0.2,2
S4Z,0.051211306272401,0.3498694516971281,0.2644628099173552,0.0671641791044776,0.0261194029850746,0.0261194029850746,0.0373134328358208,0.0783582089552238,0.1119402985074626,0.1156716417910447,0.0783582089552238,0.0597014925373134,0.0410447761194029,0.0410447761194029,0.0597014925373134,0.0597014925373134,0.0671641791044776,0.0522388059701492,0.0373134328358208,0.0186567164179104,0.0074626865671641,0.003731343283582,0.0,0.0,0.1923076923076923,0.0307692307692307,0.0076923076923076,0.0,0.7692307692307693,0.0,0.0,0.0,0.8087649402390438,0.1593625498007968,0.0199203187250996,0.0119521912350597,0.0,0.5165289256198347,0.2314049586776859,0.1735537190082644,0.0578512396694214,0.0743801652892562,0.74,0.0341880341880341,0.0598290598290598,0.0854700854700854,0.1324786324786324,0.1538461538461538,0.1495726495726495,0.1367521367521367,0.094017094017094,0.0641025641025641,0.0299145299145299,0.0256410256410256,0.017094017094017,0.017094017094017,42400.0,47000.0,0.2,8
S6H,0.0004739135458883,0.4099216710182769,0.3966942148760329,0.0477227363454908,0.0577027762656505,0.0626020685900925,0.0564325893667211,0.0526220286699328,0.0569769551805479,0.0656868082017782,0.0656868082017782,0.0624206133188169,0.0567954999092723,0.054980947196516,0.0693159136272908,0.0753039375793866,0.0655053529305026,0.0537107602975866,0.0352023226274723,0.0273997459626202,0.0179640718562874,0.0121575031754672,0.00290328434041,0.0007258210851025,0.7351505288852725,0.0240032546786004,0.0244100895036615,0.0288852725793327,0.1310008136696501,0.0516680227827502,0.0040683482506102,0.0016273393002441,0.8683914510686164,0.0873640794900637,0.0283089613798275,0.0119985001874765,0.0039370078740157,0.616090607303261,0.2079671939074399,0.140597539543058,0.0376879515719586,0.0353446592462409,0.6759999999999999,0.0381422481489791,0.0758357639667938,0.1146511106125196,0.1826340587839353,0.1610949068880413,0.1339466008525914,0.0969261835315234,0.0652905541844289,0.0491361902625084,0.0291676015256899,0.0186223917433251,0.021539151895894,0.0127888714381871,35600.0,40200.0,0.3,3
S6J,0.0161816013662659,0.370757180156658,0.3553719008264462,0.0529914529914529,0.0726495726495726,0.0777777777777777,0.0615384615384615,0.0538461538461538,0.0461538461538461,0.0572649572649572,0.07008547008547,0.0692307692307692,0.0529914529914529,0.0478632478632478,0.0589743589743589,0.0641025641025641,0.0641025641025641,0.0521367521367521,0.0358974358974358,0.0256410256410256,0.0222222222222222,0.0119658119658119,0.0042735042735042,0.0,0.5557894736842105,0.0147368421052631,0.0442105263157894,0.0,0.2631578947368421,0.0021052631578947,0.0126315789473684,0.1052631578947368,0.8691189050470488,0.0727117194183062,0.0402053036783575,0.0136869118905047,0.0034217279726261,0.5478961504028648,0.2050134288272157,0.2068039391226499,0.0778871978513876,0.0402864816472694,0.6920000000000001,0.0436205016357688,0.0806979280261723,0.1199563794983642,0.1417666303162486,0.1199563794983642,0.1068702290076335,0.0883315158124318,0.0730643402399127,0.0556161395856052,0.0414394765539803,0.0359869138495092,0.0501635768811341,0.0414394765539803,41200.0,50280.0,0.3,9
S6K,0.076494478578068,0.2193211488250653,0.2644628099173552,0.0674157303370786,0.0936329588014981,0.0936329588014981,0.0749063670411985,0.0337078651685393,0.0337078651685393,0.0636704119850187,0.1011235955056179,0.0898876404494382,0.0749063670411985,0.048689138576779,0.0599250936329588,0.0561797752808988,0.0524344569288389,0.0262172284644194,0.0149812734082397,0.0074906367041198,0.0037453183520599,0.0,0.0,0.0,0.946236559139785,0.043010752688172,0.0,0.010752688172043,0.0,0.0,0.0,0.0,0.8905660377358491,0.0528301886792452,0.0415094339622641,0.0150943396226415,0.0,0.582995951417004,0.1659919028340081,0.2307692307692307,0.1012145748987854,0.020242914979757,0.78,0.0452261306532663,0.0854271356783919,0.0904522613065326,0.1105527638190954,0.0954773869346733,0.1055276381909547,0.0954773869346733,0.0904522613065326,0.100502512562814,0.050251256281407,0.0402010050251256,0.0552763819095477,0.0402010050251256,49200.0,50500.0,0.2,2
S6V,0.0004199328506521,0.2872062663185379,0.2561983471074379,0.0660813856922529,0.0676236801518566,0.0735555819195634,0.0685727844346897,0.0684541463993356,0.0727251156720844,0.0701150788942935,0.0654881955154822,0.0593190176770672,0.0536243919800688,0.053861668050777,0.0612172262427334,0.060030845889192,0.0495906987780282,0.0404555700557598,0.0272867481314509,0.0211175702930359,0.0130501838889547,0.0061691778384149,0.0015422944596037,0.0002372760707082,0.6797468354430379,0.0237341772151898,0.0291139240506329,0.0193037974683544,0.1946202531645569,0.0373417721518987,0.000632911392405,0.0151898734177215,0.8388769444795751,0.1107879094473251,0.0368028329328443,0.0103705577336537,0.0029088149740736,0.5740616171128751,0.2106820933674155,0.1813534239203551,0.0240817973900174,0.034037400780304,0.6859999999999999,0.0496963886225631,0.084372003835091,0.1094598913390859,0.1738574624480664,0.1527644614892937,0.1310322786832854,0.0933205496963886,0.0693512304250559,0.0522531160115052,0.0313199105145413,0.0180568871844039,0.0210930009587727,0.0129434324065196,34400.0,39560.0,0.3,3
S6W,0.0042473531998854,0.6945169712793735,0.7520661157024794,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0689655172413793,0.0517241379310344,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0517241379310344,0.0689655172413793,0.0344827586206896,0.0862068965517241,0.1206896551724138,0.1034482758620689,0.1034482758620689,0.0517241379310344,0.0,0.0,0.0,0.2758620689655172,0.1724137931034483,0.0689655172413793,0.0,0.2758620689655172,0.2068965517241379,0.0,0.0,0.7164179104477612,0.1940298507462686,0.0746268656716417,0.0,0.0,0.3636363636363636,0.4242424242424242,0.1818181818181818,0.0606060606060606,0.0,0.44,0.0392156862745098,0.0588235294117647,0.0980392156862745,0.1372549019607843,0.1372549019607843,0.1568627450980392,0.1176470588235294,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0980392156862745,45200.0,56400.0,0.4,4
S6X,0.0341675473751399,0.2532637075718016,0.2975206611570248,0.0595238095238095,0.0912698412698412,0.0952380952380952,0.0753968253968253,0.0416666666666666,0.0396825396825396,0.0555555555555555,0.0833333333333333,0.0833333333333333,0.0753968253968253,0.0654761904761904,0.0615079365079365,0.0515873015873015,0.0416666666666666,0.0337301587301587,0.0198412698412698,0.0317460317460317,0.0019841269841269,0.0,0.0,0.0,0.803921568627451,0.1111111111111111,0.0392156862745098,0.0,0.0326797385620915,0.0,0.0,0.0,0.8905579399141631,0.0815450643776824,0.0107296137339055,0.0171673819742489,0.0,0.5863636363636363,0.2477272727272727,0.1568181818181818,0.034090909090909,0.0068181818181818,0.784,0.0495626822157434,0.075801749271137,0.0845481049562682,0.075801749271137,0.075801749271137,0.0845481049562682,0.1020408163265306,0.0874635568513119,0.1107871720116618,0.075801749271137,0.0612244897959183,0.0612244897959183,0.0583090379008746,58000.0,56750.0,0.2,2
S7B,0.0013886955605082,0.3498694516971281,0.3801652892561983,0.07,0.07,0.06,0.05,0.03,0.05,0.07,0.06,0.06,0.06,0.07,0.11,0.07,0.06,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.8571428571428571,0.0666666666666666,0.0761904761904762,0.0,0.0,0.66,0.02,0.33,0.0,0.0,0.71,0.0512820512820512,0.0641025641025641,0.1025641025641025,0.1538461538461538,0.1923076923076923,0.1794871794871795,0.1025641025641025,0.0512820512820512,0.0384615384615384,0.0256410256410256,0.0128205128205128,0.0,0.0128205128205128,34400.0,38000.0,0.2,18
S7C,0.0006551407929898,0.2010443864229765,0.2644628099173552,0.087719298245614,0.0964912280701754,0.087719298245614,0.043859649122807,0.0350877192982456,0.0350877192982456,0.087719298245614,0.087719298245614,0.0833333333333333,0.0745614035087719,0.0614035087719298,0.0701754385964912,0.0614035087719298,0.043859649122807,0.0219298245614035,0.0087719298245614,0.0043859649122807,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8841201716738197,0.0257510729613733,0.0815450643776824,0.0,0.0,0.536697247706422,0.0321100917431192,0.4128440366972477,0.0504587155963302,0.0,0.86,0.036144578313253,0.0662650602409638,0.072289156626506,0.0963855421686747,0.0963855421686747,0.0963855421686747,0.108433734939759,0.0843373493975903,0.0602409638554216,0.0783132530120482,0.0481927710843373,0.0843373493975903,0.072289156626506,56400.0,63200.0,0.2,2
S7H,0.0765734003548124,0.3524804177545693,0.2975206611570248,0.051738185768604,0.0513307984790874,0.0478001086366105,0.0513307984790874,0.0813416621401412,0.0870450841933731,0.0863661053775122,0.0749592612710483,0.0600217273221075,0.0525529603476371,0.0514665942422596,0.0608365019011406,0.0602933188484519,0.0555404671374253,0.0454915806626833,0.0320478001086366,0.0239000543183052,0.0161596958174904,0.0069255839217816,0.0020369364475828,0.0004073872895165,0.4814471243042671,0.0470006184291898,0.0497835497835497,0.0729746444032158,0.3317872603586889,0.010204081632653,0.0003092145949288,0.0068027210884353,0.8207165760490729,0.1203122821692457,0.0221664575491426,0.0153352850968911,0.0217482225010455,0.5218909090909091,0.2465454545454545,0.1272727272727272,0.0395636363636363,0.1041454545454545,0.6920000000000001,0.0409157330735509,0.0813443740867023,0.1110569897710667,0.1760025978243221,0.1553823672674135,0.1256697515830492,0.0941711316772203,0.0667316122747199,0.0513070303620717,0.0295502516642312,0.0193213183958434,0.0253287871407696,0.023542782919305,35200.0,41600.0,0.3,3
S7J,0.0776483664442512,0.4386422976501307,0.3966942148760329,0.0502757054816737,0.0535192993837171,0.0530327602984106,0.0512487836522867,0.0609795653584171,0.0640609795653584,0.0702238079792409,0.0651962374310736,0.0546545572494323,0.0493026273110606,0.0522218618228997,0.0682776516380149,0.0710347064547518,0.0611417450535193,0.0478430100551411,0.0377878689588063,0.0306519623743107,0.0382744080441128,0.0165423289004216,0.0030814142069412,0.0006487187804086,0.6307992202729045,0.0463937621832358,0.0276803118908382,0.045224171539961,0.2101364522417154,0.0393762183235867,0.0003898635477582,0.0,0.886808367071525,0.0868758434547908,0.0102901484480431,0.0102901484480431,0.0055668016194331,0.6502028576468513,0.2164402892926442,0.094196507320515,0.0248721114835067,0.0391603457399894,0.66,0.0336519315013938,0.0712863401035444,0.0983671843886897,0.1644763042612505,0.1447630426125049,0.1318199920350458,0.1063321385902031,0.0768618080446037,0.0587415372361608,0.0350457984866587,0.022700119474313,0.0290720828355236,0.0266825965750696,38800.0,46680.0,0.3,13
S7K,0.0012382516770588,0.3968668407310705,0.3636363636363636,0.0490083173384516,0.0519513755598208,0.0506717850287907,0.0474728087012156,0.0641074856046065,0.0712731925783749,0.0779270633397312,0.0721689059500959,0.0620601407549584,0.0524632117722328,0.055790147152911,0.0688419705694177,0.0748560460652591,0.0669225847728726,0.0515674984005118,0.0331413947536788,0.0232885476647472,0.0162507997440818,0.0078055022392834,0.0021753039027511,0.000383877159309,0.5280537697253068,0.0397428404441846,0.0295149035651665,0.0254237288135593,0.200759789596727,0.1721215663354763,0.0005844535359438,0.0037989479836353,0.8588612670408982,0.099171344560278,0.0241913926757551,0.0112269446672012,0.0066827051590483,0.6028121954615063,0.2061812613114297,0.1488236113044689,0.038145621606571,0.0424613671168035,0.6779999999999999,0.0316962184214655,0.0734348030754746,0.1037188137454887,0.1614624195826141,0.1409069512003765,0.120979130707673,0.1026204299388043,0.0778283383022124,0.0582143417542758,0.0378157853444217,0.0224384120508394,0.032480778283383,0.0364035775929703,39200.0,47760.0,0.3,13
S7L,0.0425890904968921,0.2819843342036554,0.2809917355371901,0.0616413373860182,0.0689361702127659,0.0677203647416413,0.063951367781155,0.0648024316109422,0.0650455927051671,0.0742857142857142,0.0787841945288753,0.0700303951367781,0.0652887537993921,0.0612765957446808,0.065531914893617,0.059209726443769,0.0458358662613981,0.035015197568389,0.0203039513677811,0.0149544072948328,0.0102127659574468,0.0055927051671732,0.001337386018237,0.0001215805471124,0.7158133506156837,0.0346727154893065,0.0301360985093972,0.0780946208684381,0.1399870382372002,0.001296176279974,0.0003240440699935,0.0003240440699935,0.8639891585561168,0.1036097080202045,0.0195885179253418,0.0088702722680793,0.004065541456203,0.573706728899261,0.2830286529236354,0.0968494749124854,0.0233372228704784,0.0466744457409568,0.752,0.0503474903474903,0.0749034749034749,0.1107335907335907,0.1847104247104247,0.1694208494208494,0.149034749034749,0.1034749034749034,0.0676447876447876,0.041081081081081,0.02007722007722,0.0117374517374517,0.0114285714285714,0.0055598455598455,34400.0,37520.0,0.2,3
