"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"L5N",2,32.8959,83700,40.4,39.7,38000,44080,81.6,0.2,920,5545
"L5R",0,9.3291,37025,42,42.5,31800,37520,75.8,0.3,860,3645
"L5S",,5.9959,,,,,,,,,
"L5T",,11.9677,,,,,,,,,
"L5V",2,11.9662,49150,39.6,40.2,31600,38560,81.2,0.3,655,3090
"L5W",2,15.6487,24145,37.6,37.8,33200,41840,84.8,0.3,295,2070
"L6A",2,61.2069,89290,39.6,38.7,36400,45880,81.8,0.3,760,4480
"L6B",2,33.1034,34760,37.2,36.7,35200,42800,84.2,0.3,395,1725
"L6C",2,52.6077,51735,41.2,39.8,32400,44480,77.6,0.3,1095,3300
"L6E",2,8.2503,38390,39.6,38.8,33200,41640,80.6,0.3,770,2440
"L6G",1,14.2567,8365,35.2,39.6,29400,35440,79.2,0.4,260,1280
"L6H",2,62.5146,72660,40,39.6,39200,52250,79.2,0.3,1190,6785
"L6J",13,18.3881,24420,46.4,43.4,46400,97400,69.4,0.5,295,1875
"L6K",0,6.1044,14115,44.8,44.2,35200,55600,69.6,0.4,135,1085
"L6L",13,17.0665,30010,47.2,44.7,42400,59550,70.8,0.4,435,1320
"L6M",2,34.8703,72545,39.6,37.6,42800,56350,82.2,0.3,1255,7235
"L6P",19,45.794,91155,36,37.3,29000,36160,80,0.2,910,5845
"L6R",19,23.5285,93785,34.8,36.9,28800,33440,78.8,0.2,1515,9520
"L6S",19,41.2511,54360,38.8,40.1,33600,37720,75.4,0.2,630,4530
"L6T",19,19.2571,39615,37.2,39,31000,34040,75.8,0.2,505,4375
"L6V",19,8.6194,42390,37.6,38.9,31600,34840,77.2,0.2,520,4410
"L6W",11,15.3978,23550,40.8,41.4,32400,38640,74,0.3,245,1630
"L6X",19,26.0308,76115,35.6,36.7,32000,37200,81.6,0.2,1130,7695
"L6Y",9,37.934,97600,35.6,38,29800,36040,79,0.3,2010,14095
"L6Z",19,14.4623,33885,38.4,39.5,35200,41080,78.2,0.3,395,2940
"L7A",3,33.6137,104010,33.2,34,32400,37520,84.2,0.2,1355,10875
"L7B",2,180.9839,17810,42,40.1,43200,61650,76.2,0.4,35,285
"L7C",2,293.252,33845,38,38.2,37200,46680,75.4,0.3,240,1420
"L7E",2,135.4397,34520,42.4,40.7,41200,48800,79.4,0.3,65,370
"L7G",2,127.5306,48050,42,40.6,44000,52550,80.4,0.3,100,660
