"geo_name","people per km2","Average age of the population","Median age of the population","0 to 4 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 to 89 years","90 to 94 years","95 to 99 years","100 years and over","Single-detached house","Semi-detached house","Row house","Apartment or flat in a duplex","Apartment in a building that has fewer than five storeys","Apartment in a building that has five or more storeys","Other single-attached house","Movable dwelling","Mobility status 1 year ago: Non-movers","Mobility status 1 year ago: Non-migrants","Mobility status 1 year ago: Intraprovincial migrants","Mobility status 1 year ago: Interprovincial migrants","Mobility status 1 year ago: External migrants","Mobility status 5 years ago: Non-movers","Mobility status 5 years ago: Non-migrants","Mobility status 5 years ago: Intraprovincial migrants","Mobility status 5 years ago: Interprovincial migrants","Mobility status 5 years ago: External migrants","Employment income","Without after-tax income","Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 and over","Median after-tax income in 2019 among recipients ($)","Average after-tax income in 2019 among recipients ($)","Gini index on adjusted household after-tax income"
"G6C",0.0026386748252103733,0.3211488250652743,0.33884297520661155,0.055904522613065326,0.062185929648241205,0.06155778894472362,0.0571608040201005,0.062185929648241205,0.06721105527638191,0.06407035175879397,0.07097989949748744,0.0722361809045226,0.06846733668341709,0.06595477386934673,0.07412060301507538,0.07600502512562814,0.05464824120603015,0.04459798994974874,0.02386934673366834,0.011306532663316583,0.005653266331658292,0.001256281407035176,0.000628140703517588,0,0.6853766617429837,0.060561299852289516,0.023633677991137372,0.0310192023633678,0.19054652880354506,0.0014771048744460858,0.0014771048744460858,0.005908419497784343,0.867948717948718,0.08205128205128205,0.04423076923076923,0.001282051282051282,0.005128205128205128,0.624747814391392,0.19300605245460659,0.16408876933423,0.004034969737726967,0.016812373907195696,0.77,0.015372790161414296,0.053804765564950036,0.0983858570330515,0.14296694850115296,0.1652574942352037,0.18216756341275941,0.13835511145272866,0.08762490392006149,0.04919292851652575,0.027671022290545733,0.014604150653343582,0.015372790161414296,0.009992313604919293,39600,41640,0.2
"G6E",0.0034790710252078968,0.42036553524804177,0.42148760330578516,0.05453852021357742,0.05911517925247902,0.06407322654462243,0.05148741418764302,0.04652936689549962,0.04919908466819222,0.05873379099923722,0.06254767353165523,0.06941266209000763,0.05873379099923722,0.05568268497330282,0.06826849733028223,0.07627765064836003,0.06712433257055683,0.057208237986270026,0.04233409610983982,0.02784134248665141,0.01792524790236461,0.009153318077803204,0.002669717772692601,0.00038138825324180017,0.5819672131147541,0.15391621129326047,0.022768670309653915,0.0273224043715847,0.19854280510018216,0,0.0018214936247723133,0.011839708561020037,0.9015668943350743,0.05182804339092005,0.042989152269987944,0.0012053033346725592,0.0024106066693451184,0.6778947368421052,0.1414736842105263,0.16126315789473683,0.002105263157894737,0.018947368421052633,0.716,0.013605442176870748,0.052478134110787174,0.11807580174927114,0.17444120505344995,0.17201166180758018,0.17055393586005832,0.11904761904761904,0.08114674441205054,0.043245869776482024,0.019436345966958212,0.011175898931000973,0.012633624878522837,0.012633624878522837,36800,40000,0.2
"G6G",0.0028949151669168138,0.5953002610966058,0.6363636363636364,0.03733726357160403,0.043478260869565216,0.04863669859985262,0.040284942274625396,0.04175878162613608,0.046917219356423484,0.04446082043723901,0.04765413903217883,0.055760255465487595,0.046671579464505036,0.053549496438221565,0.07148120854826824,0.08450012281994596,0.08081552444116924,0.07811348563006633,0.06288381233112257,0.04863669859985262,0.03856546303119627,0.023827069516089414,0.004175878162613608,0.0007369196757553427,0.6019771071800208,0.019250780437044746,0.007804370447450572,0.11810613943808533,0.2393340270551509,0,0.004682622268470343,0.008844953173777315,0.8937908496732027,0.06808278867102396,0.03349673202614379,0.0005446623093681918,0.003812636165577342,0.6534122955442753,0.18217710095882686,0.1452340665538635,0.0028200789622109417,0.01889452904681331,0.612,0.010889856876166771,0.0566272557560672,0.14996888612321096,0.238954573739888,0.19166148102053515,0.15121344119477287,0.08711885500933417,0.04822650902302427,0.027691350342252646,0.014934660858743,0.008089607965152458,0.008089607965152458,0.006845052893590542,30400,34120,0.3
"G6H",0.0009449573592462397,0.5039164490861621,0.5454545454545455,0.04439746300211417,0.05637773079633545,0.05708245243128964,0.041578576462297394,0.03946441155743481,0.04510218463706836,0.0507399577167019,0.053558844256518676,0.06412966878083157,0.04933051444679352,0.04933051444679352,0.07892882311486962,0.08738548273431994,0.09584214235377025,0.08104298801973221,0.052854122621564484,0.030303030303030304,0.015503875968992248,0.006342494714587738,0.0028188865398167725,0,0.7819314641744548,0.010903426791277258,0,0.0763239875389408,0.1059190031152648,0,0.00778816199376947,0.014018691588785047,0.9205673758865248,0.05106382978723404,0.02624113475177305,0,0,0.7531411677753141,0.1271249076127125,0.11529933481152993,0,0.004434589800443459,0.597,0.00774526678141136,0.05421686746987952,0.14716006884681584,0.23666092943201378,0.18674698795180722,0.17555938037865748,0.09208261617900172,0.047332185886402756,0.024096385542168676,0.012048192771084338,0.0051635111876075735,0.0068846815834767644,0.0025817555938037868,31200,33200,0.2
"G6J",0.0032156774396404127,0.31853785900783294,0.3553719008264462,0.05552941176470588,0.07011764705882353,0.07952941176470588,0.06447058823529411,0.04423529411764706,0.04894117647058824,0.05788235294117647,0.06729411764705882,0.08282352941176471,0.07058823529411765,0.064,0.07011764705882353,0.06682352941176471,0.06729411764705882,0.048,0.024,0.010823529411764706,0.0051764705882352945,0.0018823529411764706,0,0.00047058823529411766,0.7156286721504113,0.08343125734430082,0.0023501762632197414,0.025851938895417155,0.15746180963572268,0,0.0023501762632197414,0.012925969447708578,0.9040114613180515,0.06160458452722063,0.02913085004775549,0,0.0038204393505253103,0.7133566783391696,0.14107053526763383,0.1295647823911956,0.002001000500250125,0.015007503751875938,0.7559999999999999,0.016577856719952634,0.0674955595026643,0.09709887507400829,0.13972764949674363,0.1492007104795737,0.16577856719952636,0.1373593842510361,0.09236234458259325,0.0586145648312611,0.03493191237418591,0.014801657785671996,0.015393724097098875,0.008880994671403197,40800,42000,0.2
"G6K",0.06361012941638927,0.32637075718015685,0.36363636363636365,0.05343047965998786,0.07225258044930176,0.08196721311475409,0.07103825136612021,0.0461445051608986,0.03278688524590164,0.051001821493624776,0.06860959319975714,0.08561020036429873,0.07407407407407407,0.06375227686703097,0.06435944140862174,0.06678809957498483,0.05768063145112325,0.056466302367941715,0.033394049787492414,0.01092896174863388,0.004250151791135397,0.0024286581663630845,0.0006071645415907711,0,0.6744913928012519,0.14553990610328638,0.00782472613458529,0.048513302034428794,0.1189358372456964,0,0.001564945226917058,0,0.9247378161628624,0.0431832202344232,0.02961135101789019,0.0024676125848241827,0,0.7530864197530864,0.1189083820662768,0.12280701754385964,0.002599090318388564,0.004548408057179987,0.758,0.014705882352941176,0.06501547987616099,0.09829721362229102,0.12229102167182662,0.12461300309597523,0.1393188854489164,0.12925696594427244,0.10681114551083591,0.07739938080495357,0.04256965944272446,0.02863777089783282,0.02786377708978328,0.02321981424148607,44800,47080,0.2
"G6L",0.0012793007938999745,0.4281984334203657,0.4297520661157024,0.051667756703727925,0.0578809679529104,0.05984303466317855,0.05199476782210595,0.04643557880967953,0.05755395683453238,0.05984303466317855,0.05984303466317855,0.06245912361020275,0.05461085676913015,0.0552648790058862,0.07619359058207979,0.0735775016350556,0.07128842380640942,0.06344015696533682,0.046762589928057555,0.026814911706998037,0.015369522563767168,0.007848266841072597,0.0009810333551340746,0.0003270111183780249,0.6209850107066381,0.054960742326909354,0.0014275517487508922,0.0649536045681656,0.24339757316202712,0.0007137758743754461,0.0035688793718772305,0.008565310492505354,0.9023569023569024,0.048484848484848485,0.041750841750841754,0.0006734006734006734,0.007070707070707071,0.6745249824067558,0.0995777621393385,0.20056298381421533,0.0038705137227304713,0.02498240675580577,0.6679999999999999,0.01448692152917505,0.05593561368209256,0.1505030181086519,0.2140845070422535,0.20040241448692153,0.17303822937625754,0.09577464788732394,0.04909456740442656,0.022132796780684104,0.0096579476861167,0.005633802816901409,0.004426559356136821,0.004426559356136821,31200,33680,0.2
"G6P",0.02794925477977193,0.5848563968668408,0.628099173553719,0.037700760777683855,0.041927303465765,0.0463229078613694,0.044801352493660185,0.048689771766694846,0.0485207100591716,0.04446322907861369,0.05021132713440406,0.05224006762468301,0.04666103127641589,0.04750633981403212,0.0716821639898563,0.07996618765849535,0.08453085376162299,0.07776838546069316,0.06711749788672866,0.05105663567202029,0.036179205409974644,0.017920540997464075,0.004564666103127641,0.000338123415046492,0.43922651933701656,0.03763812154696133,0.009323204419889503,0.08494475138121547,0.42437845303867405,0.0003453038674033149,0.0020718232044198894,0.0017265193370165745,0.8612748710390568,0.0873249815770081,0.04716285924834193,0.001658069270449521,0.002763448784082535,0.621939646991839,0.18466502182577338,0.1772632378060353,0.004365154678307079,0.016321882710191686,0.594,0.013903518011375605,0.05561407204550242,0.16389298504318517,0.2540551927533179,0.18959342742784918,0.14598693911944385,0.0821571518854013,0.04423846639983147,0.01938066147040236,0.012428902464714557,0.006109121550452918,0.006109121550452918,0.0067410996418790815,28600,33000,0.3
"G6R",0.007325534217502037,0.30809399477806787,0.3553719008264462,0.05425531914893617,0.07765957446808511,0.08404255319148936,0.06702127659574468,0.0425531914893617,0.036170212765957444,0.05638297872340425,0.06595744680851064,0.08723404255319149,0.07659574468085106,0.06808510638297872,0.06702127659574468,0.06914893617021277,0.05638297872340425,0.043617021276595745,0.027659574468085105,0.013829787234042552,0.0031914893617021275,0.002127659574468085,0,0,0.8166666666666667,0.05555555555555555,0,0.008333333333333333,0.10277777777777777,0,0.002777777777777778,0.013888888888888888,0.9314345991561181,0.0379746835443038,0.027426160337552744,0,0,0.7280799112097669,0.08879023307436182,0.17869034406215317,0,0.004439511653718091,0.7020000000000001,0.009497964721845319,0.06241519674355495,0.12618724559023067,0.16960651289009498,0.15739484396200815,0.1587516960651289,0.12211668928086838,0.07191316146540028,0.04748982360922659,0.031207598371777476,0.017639077340569877,0.012211668928086838,0.012211668928086838,37200,41560,0.2
"G6S",0.0024774636149878016,0.4099216710182769,0.4049586776859505,0.05478180129990715,0.059424326833797586,0.06499535747446611,0.057567316620241414,0.04921077065923862,0.04642525533890436,0.0584958217270195,0.06406685236768803,0.07149489322191271,0.06685236768802229,0.052924791086350974,0.06220984215413185,0.06406685236768803,0.06313834726090993,0.060352831940575676,0.04642525533890436,0.028783658310120707,0.02135561745589601,0.007428040854224698,0.0018570102135561746,0,0.4557823129251701,0.3242630385487528,0.018140589569160998,0.009070294784580499,0.19727891156462585,0,0,0.0022675736961451248,0.8866599799398195,0.0712136409227683,0.03911735205616851,0,0.003009027081243731,0.6225026288117771,0.17875920084121977,0.1892744479495268,0.002103049421661409,0.00946372239747634,0.674,0.016766467065868262,0.0562874251497006,0.12215568862275449,0.18083832335329342,0.17604790419161676,0.162874251497006,0.1089820359281437,0.07065868263473053,0.04431137724550898,0.022754491017964073,0.013173652694610778,0.011976047904191617,0.010778443113772455,35600,40200,0.2
"G6T",0.007479284391156492,0.3054830287206267,0.3223140495867769,0.06919642857142858,0.07366071428571429,0.06875,0.05848214285714286,0.044196428571428574,0.05625,0.06428571428571428,0.07544642857142857,0.07366071428571429,0.060267857142857144,0.060267857142857144,0.06651785714285714,0.06875,0.06785714285714285,0.048214285714285716,0.027678571428571427,0.010267857142857143,0.0035714285714285713,0.0004464285714285714,0.0004464285714285714,0,0.5603070175438597,0.23026315789473684,0.003289473684210526,0.0043859649122807015,0.19846491228070176,0,0.0010964912280701754,0.0010964912280701754,0.9011680143755616,0.07547169811320754,0.0220125786163522,0,0,0.6425166825548141,0.20305052430886558,0.14823641563393708,0.002859866539561487,0.006196377502383222,0.7340000000000001,0.011904761904761904,0.05782312925170068,0.11224489795918367,0.1536281179138322,0.17346938775510204,0.17346938775510204,0.1235827664399093,0.08333333333333333,0.04705215419501134,0.025510204081632654,0.01417233560090703,0.01417233560090703,0.01020408163265306,38400,40600,0.2
"G6V",0.0367850273772259,0.566579634464752,0.5950413223140495,0.03464960199781489,0.040580614952395816,0.04260964570001561,0.039644139222725146,0.0480724207897612,0.05696894022163259,0.05072576869049477,0.054939909474012796,0.058061495239581706,0.047760262213204306,0.05431559232089902,0.07538629623848915,0.08615576712970188,0.0841267363820821,0.07569845481504604,0.060246605275479946,0.04182924925862338,0.0257530825659435,0.017324800998907444,0.004994537224910255,0.0003121585765568909,0.3688344329249136,0.03832862079798932,0.04115614200439836,0.09267986176562991,0.3886270813697769,0.06220546654099906,0.002827521206409048,0.0053408733898837575,0.8649425287356322,0.08012170385395538,0.0436105476673428,0.004056795131845842,0.007099391480730223,0.6114016736401674,0.19473500697350069,0.1614365411436541,0.006624825662482566,0.032426778242677826,0.631,0.012022900763358779,0.055725190839694655,0.11851145038167939,0.19885496183206106,0.1833969465648855,0.17080152671755724,0.1017175572519084,0.06297709923664122,0.04083969465648855,0.01984732824427481,0.011259541984732824,0.012404580152671756,0.011641221374045801,34400,38360,0.3
"G6W",0.03087681746573754,0.4647519582245432,0.47107438016528924,0.04061014263074485,0.05071315372424723,0.05725039619651347,0.04675118858954041,0.0501188589540412,0.05526941362916006,0.05408082408874802,0.058637083993660855,0.06893819334389857,0.06418383518225039,0.058637083993660855,0.07547543581616482,0.07468304278922346,0.07190966719492868,0.06854199683042789,0.05170364500792393,0.03030903328050713,0.014659270998415214,0.006537242472266244,0.0011885895404120444,0.00019809825673534074,0.3762668918918919,0.0929054054054054,0.02702702702702703,0.05489864864864865,0.4404560810810811,0.004222972972972973,0.001266891891891892,0.0033783783783783786,0.854064039408867,0.09729064039408868,0.03879310344827586,0.002052545155993432,0.007389162561576354,0.575333757151939,0.2191142191142191,0.18139436321254504,0.004662004662004662,0.02436956982411528,0.698,0.013480982185844969,0.054164660568127104,0.10471834376504574,0.16273471352912855,0.16947520462205104,0.16273471352912855,0.11916225324987964,0.08353394318728936,0.04983148772267694,0.030813673567645642,0.017332691381800675,0.019258545979778528,0.012999518536350506,38000,42240,0.2
"G6X",0.03341436504152313,0.46736292428198456,0.4628099173553719,0.03759398496240601,0.04833512352309345,0.04779806659505908,0.04457572502685284,0.059613319011815255,0.06552094522019335,0.061224489795918366,0.06229860365198711,0.06068743286788399,0.05209452201933405,0.05639097744360902,0.07035445757250268,0.08163265306122448,0.08324382384532761,0.06874328678839957,0.04887218045112782,0.027389903329752954,0.01288936627282492,0.005907626208378088,0.00322234156820623,0.0005370569280343716,0.35243243243243244,0.10702702702702703,0.02702702702702703,0.06486486486486487,0.44432432432432434,0,0.003243243243243243,0.003243243243243243,0.8767955801104972,0.06795580110497237,0.04585635359116022,0.0011049723756906078,0.0077348066298342545,0.638904734740445,0.16657159155733028,0.16600114090131204,0.00513405590416429,0.027381631488876214,0.682,0.01336728198599618,0.05028644175684278,0.10057288351368555,0.17250159134309356,0.1954169318905156,0.1820496499045194,0.11839592616168046,0.0732017823042648,0.04519414385741566,0.021005728835136857,0.009548058561425843,0.010821133036282623,0.005728835136855506,36800,38320,0.2
