"Geo Code","Geo Name","Line Number"
"2021A0011G4Z","G4Z",781409
"2021A0011G5A","G5A",784040
"2021A0011G5B","G5B",786671
"2021A0011G5C","G5C",789302
"2021A0011G5H","G5H",791933
"2021A0011G5J","G5J",794564
"2021A0011G5L","G5L",797195
"2021A0011G5M","G5M",799826
"2021A0011G5N","G5N",802457
"2021A0011G5R","G5R",805088
"2021A0011G5T","G5T",807719
"2021A0011G5V","G5V",810350
"2021A0011G5X","G5X",812981
"2021A0011G5Y","G5Y",815612
"2021A0011G5Z","G5Z",818243
"2021A0011G6A","G6A",820874
"2021A0011G6B","G6B",823505
"2021A0011G6C","G6C",826136
"2021A0011G6E","G6E",828767
"2021A0011G6G","G6G",831398
"2021A0011G6H","G6H",834029
"2021A0011G6J","G6J",836660
"2021A0011G6K","G6K",839291
"2021A0011G6L","G6L",841922
"2021A0011G6P","G6P",844553
"2021A0011G6R","G6R",847184
"2021A0011G6S","G6S",849815
"2021A0011G6T","G6T",852446
"2021A0011G6V","G6V",855077
"2021A0011G6W","G6W",857708
"2021A0011G6X","G6X",860339
"2021A0011G6Y","G6Y",862970
"2021A0011G6Z","G6Z",865601
"2021A0011G7A","G7A",868232
"2021A0011G7B","G7B",870863
"2021A0011G7G","G7G",873494
"2021A0011G7H","G7H",876125
"2021A0011G7J","G7J",878756
"2021A0011G7K","G7K",881387
"2021A0011G7N","G7N",884018
"2021A0011G7P","G7P",886649
"2021A0011G7S","G7S",889280
"2021A0011G7T","G7T",891911
"2021A0011G7X","G7X",894542
"2021A0011G7Y","G7Y",897173
"2021A0011G7Z","G7Z",899804
"2021A0011G8A","G8A",902435
"2021A0011G8B","G8B",905066
"2021A0011G8C","G8C",907697
"2021A0011G8E","G8E",910328
"2021A0011G8G","G8G",912959
"2021A0011G8H","G8H",915590
"2021A0011G8J","G8J",918221
"2021A0011G8K","G8K",920852
"2021A0011G8L","G8L",923483
"2021A0011G8M","G8M",926114
"2021A0011G8N","G8N",928745
"2021A0011G8P","G8P",931376
"2021A0011G8T","G8T",934007
"2021A0011G8V","G8V",936638
"2021A0011G8W","G8W",939269
"2021A0011G8Y","G8Y",941900
"2021A0011G8Z","G8Z",944531
"2021A0011G9A","G9A",947162
"2021A0011G9B","G9B",949793
"2021A0011G9C","G9C",952424
"2021A0011G9H","G9H",955055
"2021A0011G9N","G9N",957686
"2021A0011G9P","G9P",960317
"2021A0011G9R","G9R",962948
"2021A0011G9T","G9T",965579
"2021A0011G9X","G9X",968210
"2021A0011H1A","H1A",970841
"2021A0011H1B","H1B",973472
"2021A0011H1C","H1C",976103
"2021A0011H1E","H1E",978734
"2021A0011H1G","H1G",981365
"2021A0011H1H","H1H",983996
"2021A0011H1J","H1J",986627
"2021A0011H1K","H1K",989258
"2021A0011H1L","H1L",991889
"2021A0011H1M","H1M",994520
"2021A0011H1N","H1N",997151
"2021A0011H1P","H1P",999782
"2021A0011H1R","H1R",1002413
"2021A0011H1S","H1S",1005044
"2021A0011H1T","H1T",1007675
"2021A0011H1V","H1V",1010306
"2021A0011H1W","H1W",1012937
"2021A0011H1X","H1X",1015568
"2021A0011H1Y","H1Y",1018199
"2021A0011H1Z","H1Z",1020830
"2021A0011H2A","H2A",1023461
"2021A0011H2B","H2B",1026092
"2021A0011H2C","H2C",1028723
"2021A0011H2E","H2E",1031354
"2021A0011H2G","H2G",1033985
"2021A0011H2H","H2H",1036616
"2021A0011H2J","H2J",1039247
"2021A0011H2K","H2K",1041878
"2021A0011H2L","H2L",1044509
"2021A0011H2M","H2M",1047140
"2021A0011H2N","H2N",1049771
"2021A0011H2P","H2P",1052402
"2021A0011H2R","H2R",1055033
"2021A0011H2S","H2S",1057664
"2021A0011H2T","H2T",1060295
"2021A0011H2V","H2V",1062926
"2021A0011H2W","H2W",1065557
"2021A0011H2X","H2X",1068188
"2021A0011H2Y","H2Y",1070819
"2021A0011H2Z","H2Z",1073450
"2021A0011H3A","H3A",1076081
"2021A0011H3B","H3B",1078712
"2021A0011H3C","H3C",1081343
"2021A0011H3E","H3E",1083974
"2021A0011H3G","H3G",1086605
"2021A0011H3H","H3H",1089236
"2021A0011H3J","H3J",1091867
"2021A0011H3K","H3K",1094498
"2021A0011H3L","H3L",1097129
"2021A0011H3M","H3M",1099760
"2021A0011H3N","H3N",1102391
"2021A0011H3P","H3P",1105022
"2021A0011H3R","H3R",1107653
"2021A0011H3S","H3S",1110284
"2021A0011H3T","H3T",1112915
"2021A0011H3V","H3V",1115546
"2021A0011H3W","H3W",1118177
"2021A0011H3X","H3X",1120808
"2021A0011H3Y","H3Y",1123439
"2021A0011H3Z","H3Z",1126070
"2021A0011H4A","H4A",1128701
"2021A0011H4B","H4B",1131332
"2021A0011H4C","H4C",1133963
"2021A0011H4E","H4E",1136594
"2021A0011H4G","H4G",1139225
"2021A0011H4H","H4H",1141856
"2021A0011H4J","H4J",1144487
"2021A0011H4K","H4K",1147118
"2021A0011H4L","H4L",1149749
"2021A0011H4M","H4M",1152380
"2021A0011H4N","H4N",1155011
"2021A0011H4P","H4P",1157642
"2021A0011H4R","H4R",1160273
"2021A0011H4S","H4S",1162904
"2021A0011H4T","H4T",1165535
"2021A0011H4V","H4V",1168166
"2021A0011H4W","H4W",1170797
"2021A0011H4X","H4X",1173428
"2021A0011H7A","H7A",1176059
"2021A0011H7B","H7B",1178690
"2021A0011H7C","H7C",1181321
"2021A0011H7E","H7E",1183952
"2021A0011H7G","H7G",1186583
"2021A0011H7H","H7H",1189214
"2021A0011H7J","H7J",1191845
"2021A0011H7K","H7K",1194476
"2021A0011H7L","H7L",1197107
"2021A0011H7M","H7M",1199738
"2021A0011H7N","H7N",1202369
"2021A0011H7P","H7P",1205000
"2021A0011H7R","H7R",1207631
"2021A0011H7S","H7S",1210262
"2021A0011H7T","H7T",1212893
"2021A0011H7V","H7V",1215524
"2021A0011H7W","H7W",1218155
"2021A0011H7X","H7X",1220786
"2021A0011H7Y","H7Y",1223417
"2021A0011H8N","H8N",1226048
"2021A0011H8P","H8P",1228679
"2021A0011H8R","H8R",1231310
"2021A0011H8S","H8S",1233941
"2021A0011H8T","H8T",1236572
"2021A0011H8Y","H8Y",1239203
"2021A0011H8Z","H8Z",1241834
"2021A0011H9A","H9A",1244465
"2021A0011H9B","H9B",1247096
"2021A0011H9C","H9C",1249727
"2021A0011H9E","H9E",1252358
"2021A0011H9G","H9G",1254989
"2021A0011H9H","H9H",1257620
"2021A0011H9J","H9J",1260251
"2021A0011H9K","H9K",1262882
"2021A0011H9P","H9P",1265513
"2021A0011H9R","H9R",1268144
"2021A0011H9S","H9S",1270775
"2021A0011H9W","H9W",1273406
"2021A0011H9X","H9X",1276037
"2021A0011J0A","J0A",1278668
